2025-11-14 15:34:36 | INFO | app | Emission agrégée: {1: ['Souris-02', 'Souris-05'], 2: ['Souris-02', 'Souris-05'], 3: ['Souris-02', 'Souris-05'], 4: ['Souris-02', 'Souris-05'], 5: ['Souris-02', 'Souris-05'], 6: ['Souris-02', 'Souris-05'], 7: ['Souris-02', 'Souris-05'], 0: ['Souris-02', 'Souris-05']}
2025-11-14 15:34:37 | INFO | app | Emission agrégée: {0: ['Souris-02', 'Souris-05'], 1: ['Souris-02', 'Souris-05'], 2: ['Souris-02', 'Souris-05'], 3: ['Souris-02', 'Souris-05'], 4: ['Souris-02', 'Souris-05'], 5: ['Souris-02', 'Souris-05'], 6: ['Souris-02', 'Souris-05'], 7: ['Souris-02', 'Souris-05']}
2025-11-14 15:34:38 | INFO | app | Emission agrégée: {0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05'], 2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:38 | INFO | app | Emission agrégée: {0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05'], 2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:39 | INFO | app | Emission agrégée: {0: ['Souris-02', 'Souris-04', 'Souris-05'], 1: ['Souris-02', 'Souris-04', 'Souris-05'], 2: ['Souris-02', 'Souris-04', 'Souris-05'], 3: ['Souris-02', 'Souris-04', 'Souris-05'], 4: ['Souris-02', 'Souris-04', 'Souris-05'], 5: ['Souris-02', 'Souris-04', 'Souris-05'], 6: ['Souris-01', 'Souris-02', 'Souris-04', 'Souris-05'], 7: ['Souris-02', 'Souris-04', 'Souris-05']}
2025-11-14 15:34:39 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:40 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:41 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:41 | INFO | app | Emission agrégée: {7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04'], 6: ['Souris-01', 'Souris-02', 'Souris-04']}
2025-11-14 15:34:42 | INFO | app | Emission agrégée: {6: ['Souris-01', 'Souris-02', 'Souris-04'], 7: ['Souris-01', 'Souris-02', 'Souris-04'], 0: ['Souris-01', 'Souris-02', 'Souris-04'], 1: ['Souris-01', 'Souris-02', 'Souris-04'], 2: ['Souris-01', 'Souris-02', 'Souris-04'], 3: ['Souris-01', 'Souris-02', 'Souris-04'], 4: ['Souris-01', 'Souris-02', 'Souris-04'], 5: ['Souris-01', 'Souris-02', 'Souris-04']}
